1;600.11;20710295.25;8.27;600.11;21044296.21;9.73;600.1; - ; -;600.11;20234351.45;6.12;600.12; - ; -;600.12;19756948.23;3.5;600.14;20496345.17;6.96;600.13;19678356.1;3.1;600.13;19700780.49;3.19;600.12; - ; -
3;600.09;22969402.63;4.23;600.08; - ; -;600.1;22970343.8;4.24;600.09;23242409.65;5.36;600.08;22882997.19;3.59;600.16;22958101.73;2.64;600.12;22839554.75;2.21;600.16;23609931.57;5.33;600.1;22697009.58;1.54;600.16;22956126.12;2.63
5;600.07;25193374.82;8.85;600.07; - ; -;600.07; - ; -;600.07; - ; -;600.07; - ; -;600.08;25199824.99;8.04;600.09; - ; -;600.09; - ; -;600.08;24934023.25;7.16;600.08;27066195.18;14.38
9;600.02;11159487.98;2.07;600.01;11159487.98;1.93;600.01;11159487.98;2.38;600.01;11159487.98;2.37;600.01;11159487.98;1.96;600.01;11159487.98;2.17;600.02;11159487.98;2.48;600.02;11159487.98;2.14;600.02;11159487.98;1.88;225.31;11159487.98;0.01
12;600.01;9009167.55;2.89;600.01;9009167.55;2.96;600.01;9009167.55;2.89;600.01;9009167.55;2.72;600.01;9009167.55;2.72;600.02;9009167.55;2.77;600.01;9009167.55;2.75;600.01;9009167.55;2.81;600.02;9009167.55;2.66;600.01;9009167.55;2.79
14;600.01;10377051.63;2.79;600.01;10377051.63;2.76;600.01;10377051.63;2.8;600.01;10377051.63;2.68;600.01;10377051.63;2.65;600.01;10377051.63;2.64;600.02;10377051.63;2.7;600.02;10377051.63;2.68;600.02;10377051.63;2.59;600.02;10377051.63;2.68
27;600.62;23525465.14;5.56;600.55;23592560.4;5.82;600.49;23521294;5.54;600.51;23832522.68;6.77;600.57;23521294;5.54;601.57;23991566.86;6.22;601.16;24595644.9;8.53;601.28;23688621.23;5.02;600.98;23623991.29;4.76;600.79;23598920.82;4.66
