1;3600.05;19479436.83;2.11;0.22;210.91;20945481.84;2.59;7.20;19436700.18
2;3600.11;21517678.64;0.89;0.53;3600.12;21534815.61;0.12;0.61;21403410.11
3;3600.04;22695422.11;1.48;0.37;402.89;23489037.16;0.01;3.73;22611988.67
4;3600.07;25699635.05;5.53;4.88;3600.07;25452220.12;0.91;3.95;24445688.02
5;3600.03;24300076.66;3.64;3.36;90.69; - ; -;-;23482483.25
6;3600.11;24845955.65;2.32;0.31;3600.14;24790222.64;1.16;0.09;24768927.72
7;60.04;8555171.40;1.31;0.00;30.43;8555171.40;0.00;0.00;8555171.40
8;60.06;8819813.40;0.54;0.15;30.41;8819813.40;0.00;0.15;8806838.99
9;32.76;11435665.94;0.00;12.06;30.14;11159487.98;0.00;9.88;10056670.31
10;60.06;10303320.45;1.07;0.00;30.95;10303320.45;0.00;0.00;10303320.51
12;60.04;9009167.55;2.47;4.49;30.12;9009167.55;0.00;4.49;8604208.93
13;53.98;8933494.43;0.00;0.00;30.35;8933494.43;0.00;0.00;8933494.59
14;60.05;10377051.63;2.47;1.96;30.13;10377051.63;0.00;1.96;10173931.59
15;60.07;10348430.55;0.61;0.00;30.29;10348430.55;0.01;0.00;10348430.63
16;60.05;8054844.90;5.24;0.00;42.71;8054844.90;0.00;0.00;8054844.90
17;60.11;8560008.61;3.70;0.00;60.07;8560008.61;2.60;0.00;8560008.68
18;60.04;8635776.60;7.89;3.23;60.05;8635776.60;5.76;3.23;8357195.91
19;60.07;9267044.29;7.89;0.96;60.07;9267044.29;7.74;0.96;9178499.88
20;932.04;-;-;-;3600.05;-;-;-;38977593.84
21;391.88;-;-;-;3600.03;-;-;-;44857986.73
26;3600.07;-;-;-;3600.07;-;-;-;22337935.84
27;3600.10;23667734.80;4.40;1.29;3600.04;-;-;-;23362025.61
28;3600.07;-;-;-;3600.06;-;-;-;26637602.25
29;1929.72;-;-;-;3600.13;-;-;-;27295289.87
