1;600.11;19732759.84;3.35;600.16;19892150.87;4.14;600.13;19934992.71;4.1;600.13;19550299.22;2.12;600.13;19946643.04;4.4;600.75;19616808.81;2.78;600.75;20239524.78;5.78;600.74;19982218.77;4.57;600.75;19732680.05;3.36;600.75;19923919.02;4.29
3;600.1;22780580.23;2.06;600.11;22889841.99;2.37;600.12;23112976.56;3.4;600.11;23321476.1;4.29;600.13;22692075.94;1.49;601.09;22660388.89;1.36;600.8;22648868.9;1.33;600.75;22786395.69;2.09;600.73;24118642.42;7.35;600.77;23114554.24;3.3
5;600.09; - ; -;600.1;25950857.93;10.8;600.08;26123023.5;11.31;600.09;25037344.51;7.44;600.09; - ; -;600.73; - ; -;600.71;26346597.73;12.14;600.72; - ; -;600.71; - ; -;600.72; - ; -
27;600.93;23660564.24;4.91;600.91;24151019.62;6.84;601.35;24643113.97;8.7;601.05;25593437.1;12.09;600.94; - ; -;602.19;23792112.65;5.44;602.42;23866269.13;5.73;602.4;26412863.78;14.82;602.49;23502611.53;4.27;602.19;23605468.31;5.49
